,name,startdate,enddate,location_01,location_02
146,동래읍성 역사축제,2018-10-12,2018-10-14,부산,동래구
147,고창모양성제,2018-10-17,2018-10-21,전북,고창군
148,서울빛초롱축제,2017-11-03,2017-11-19,서울,종로구
150,대장경세계문화축전,2017-10-20,2017-11-05,경남,합천군
151,낙안읍성 민속문화축제,2017-10-20,2017-10-22,전남,순천시
152,정읍사문화제,2017-10-20,2017-10-22,전북,정읍시
153,이태원 지구촌축제,2017-10-14,2017-10-15,서울,용산구
155,정선아리랑제,2017-09-29,2017-10-02,강원,정선군
156,종로청계관광특구 육의전축제,2017-09-21,2017-09-23,서울,종로구
157,상주시 성주봉자연휴양림 단풍축제,2017-11-04,2017-11-04,경북,상주시
158,군산-서천 금강철새여행,2017-11-17,2017-11-19,전북,군산시
159,순천만갈대축제,2017-11-03,2017-11-05,전남,순천시
160,미당문학제,2017-11-03,2017-11-05,전북,고창군
161,소요단풍문화제,2017-10-28,2017-10-28,경기,동두천시
162,장성백양단풍축제,2017-10-27,2017-10-29,전남,장성군
163,산정호수 명성산 억새꽃축제,2017-10-13,2017-10-15,경기,포천시
164,서울억새축제,2017-10-13,2017-10-19,서울,마포구
165,민둥산억새꽃축제,2017-09-22,2017-10-29,강원,정선군
166,인천드림파크 가을나들이행사,2017-09-21,2017-10-01,인천,서구
167,서천 홍원항 자연산 전어·꽃게 축제,2017-09-09,2017-09-24,충남,서천군
168,포항구룡포과메기축제,2017-11-11,2017-11-12,경북,포항시
169,벌교꼬막축제,2017-10-27,2017-10-29,전남,보성군
170,부산자갈치축제,2017-10-19,2017-10-22,부산,중구
171,무창포 신비의 바닷길 대하·전어 축제,2017-09-23,2017-10-15,충남,보령시
172,인천소래포구축제,2017-09-22,2017-09-24,인천,남동구
173,안면도 백사장 대하축제,2017-09-22,2017-10-22,충남,태안군
174,광양전어축제,2017-09-15,2017-09-17,전남,광양시
175,홍성 남당항 대하축제,2017-09-08,2017-09-24,충남,홍성군
176,명지 전어축제,2017-08-29,2017-08-31,부산,강서구
177,"청양고추, 구기자 축제",2018-09-07,2018-09-09,충남,청양군
178,순천 푸드·아트 페스티벌,2018-09-07,2018-09-09,전남,순천시
179,장수한우랑사과랑축제,2018-09-14,2018-09-16,전북,장수군
180,봉화송이축제,2018-09-29,2018-10-02,경북,봉화군
181,횡성한우축제,2018-10-05,2018-10-09,강원,횡성군
182,완주와일드푸드축제,2018-10-05,2018-10-07,전북,완주군
183,금산인삼축제,2018-10-05,2018-10-14,충남,금산군
184,임실N치즈축제,2018-10-06,2018-10-09,전북,임실군
185,논산강경젓갈축제,2018-10-10,2018-10-14,충남,논산시
186,이천쌀문화축제,2018-10-17,2018-10-21,경기,이천시
187,순창장류축제,2018-10-19,2018-10-21,전북,순창군
188,여주 오곡나루축제,2018-10-26,2018-10-28,경기,여주시
189,강릉세계겨울커피축제 재즈 프레소,2018-02-09,2018-02-25,강원,강릉시
190,파주장단콩축제,2017-11-24,2017-11-26,경기,파주시
191,청송도깨비사과축제,2017-11-03,2017-11-06,경북,청송군
192,김해 진영단감축제,2017-11-03,2017-11-05,경남,김해시
193,전주비빔밥축제,2017-10-26,2017-10-29,전북,전주시
194,경북영주 풍기인삼축제,2017-10-21,2017-10-29,경북,영주시
195,충주농산물 한마당 축제,2017-10-21,2017-10-22,충북,충주시
196,문경 사과축제,2017-10-14,2017-10-29,경북,문경시
197,보은대추축제,2017-10-13,2017-10-22,충북,보은군
198,양양송이축제,2017-09-29,2017-10-01,강원,양양군
199,문경 오미자축제,2017-09-15,2017-09-17,경북,문경시
200,얼음나라 화천산천어축제,2018-01-06,2018-01-28,강원,화천군
201,가평자라섬씽씽축제,2018-01-06,2018-02-18,경기,가평군
202,홍천강 인삼송어 축제,2018-01-05,2018-01-21,강원,홍천군
203,파주 송어 축제,2017-12-23,2018-02-18,경기,파주시
204,물맑은 양평빙어축제,2017-12-23,2018-02-18,경기,양평군
205,양평 대자연 빙어송어축제,2017-12-23,2018-02-18,경기,양평군
206,양평빙어축제,2017-12-23,2018-02-25,경기,양평군
207,물맑은 양평 산수유마을 빙어축제,2017-12-23,2018-02-18,경기,양평군
208,평창송어축제,2017-12-22,2018-02-25,강원,평창군
209,인제빙어축제,2018-01-27,2018-02-04,강원,인제군
210,강화빙어축제,2018-01-01,2018-02-24,인천,강화군
211,청평설빙송어빙어축제,2017-12-29,2018-02-25,경기,가평군
